"Table 11 Housing market: simple average house prices, by new/other dwellings, type of buyer and  region, United Kingdom, from 1992 (quarterly) 1, 2, 3 (previously DCLG table 504)",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,New dwellings,,Other dwellings4,,All dwellings,,First time buyers,,Former owner occupiers,,,,,,,,,,,,,,,
,,,,Price,,Price,,Price,,Price,,Price,,,,,,,,,,,,,,,
,,,,£,,£,,£,,£,,£,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,
K02000001,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Q4,,"198,000 ",,"164,000 ",,"166,000 ",,"119,000 ",,"176,000 ",,,,,,,,,,,,,,,
,2004,Q1,,"204,000 ",,"167,000 ",,"169,000 ",,"122,000 ",,"180,000 ",,,,,,,,,,,,,,,
,,Q2,,"208,000 ",,"174,000 ",,"177,000 ",,"130,000 ",,"186,000 ",,,,,,,,,,,,,,,
,,Q3,,"215,000 ",,"186,000 ",,"189,000 ",,"137,000 ",,"200,000 ",,,,,,,,,,,,,,,
,,Q4,,"205,000 ",,"182,000 ",,"186,000 ",,"138,000 ",,"198,000 ",,,,,,,,,,,,,,,
,2005,Q1,,"211,000 ",,"182,000 ",,"185,000 ",,"139,000 ",,"197,000 ",,,,,,,,,,,,,,,
,,Q2,,"210,000 ",,"187,000 ",,"190,000 ",,"145,000 ",,"200,000 ",,,,,,,,,,,,,,,
,,Q3,,"213,000 ",,"197,000 ",,"199,000 ",,"146,000 ",,"217,000 ",,,,,,,,,,,,,,,
,,Q4,,"213,000 ",,"188,000 ",,"189,000 ",,"136,000 ",,"223,000 ",,,,,,,,,,,,,,,
,2006,Q1,,"222,000 ",,"192,000 ",,"193,000 ",,"138,000 ",,"229,000 ",,,,,,,,,,,,,,,
,,Q2,,"222,000 ",,"198,000 ",,"199,000 ",,"144,000 ",,"232,000 ",,,,,,,,,,,,,,,
,,Q3,,"221,000 ",,"214,000 ",,"214,000 ",,"152,000 ",,"249,000 ",,,,,,,,,,,,,,,
,,Q4,,"222,000 ",,"212,000 ",,"212,000 ",,"151,000 ",,"246,000 ",,,,,,,,,,,,,,,
,2007,Q1,,"221,000 ",,"217,000 ",,"217,000 ",,"154,000 ",,"253,000 ",,,,,,,,,,,,,,,
,,Q2,,"226,000 ",,"218,000 ",,"219,000 ",,"159,000 ",,"252,000 ",,,,,,,,,,,,,,,
,,Q3,,"224,000 ",,"233,000 ",,"232,000 ",,"164,000 ",,"268,000 ",,,,,,,,,,,,,,,
,,Q4,,"227,000 ",,"225,000 ",,"226,000 ",,"161,000 ",,"261,000 ",,,,,,,,,,,,,,,
,2008,Q1,,"227,000 ",,"227,000 ",,"227,000 ",,"161,000 ",,"264,000 ",,,,,,,,,,,,,,,
,,Q2,,"232,000 ",,"228,000 ",,"228,000 ",,"166,000 ",,"262,000 ",,,,,,,,,,,,,,,
,,Q3,,"223,000 ",,"234,000 ",,"233,000 ",,"168,000 ",,"268,000 ",,,,,,,,,,,,,,,
,,Q4,,"203,000 ",,"224,000 ",,"222,000 ",,"158,000 ",,"257,000 ",,,,,,,,,,,,,,,
,2009,Q1,,"193,000 ",,"219,000 ",,"217,000 ",,"155,000 ",,"255,000 ",,,,,,,,,,,,,,,
,,Q2,,"192,000 ",,"218,000 ",,"216,000 ",,"158,000 ",,"249,000 ",,,,,,,,,,,,,,,
,,Q3,,"203,000 ",,"239,000 ",,"236,000 ",,"172,000 ",,"270,000 ",,,,,,,,,,,,,,,
,,Q4,,"208,000 ",,"237,000 ",,"235,000 ",,"177,000 ",,"265,000 ",,,,,,,,,,,,,,,
,2010,Q1,,"210,000 ",,"256,000 ",,"253,000 ",,"185,000 ",,"286,000 ",,,,,,,,,,,,,,,
,,Q2,,"214,000 ",,"252,000 ",,"249,000 ",,"186,000 ",,"280,000 ",,,,,,,,,,,,,,,
,,Q3,,"214,000 ",,"261,000 ",,"258,000 ",,"187,000 ",,"293,000 ",,,,,,,,,,,,,,,
,,Q4,,"218,000 ",,"248,000 ",,"244,000 ",,"177,000 ",,"278,000 ",,,,,,,,,,,,,,,
,2011,Q1,,"208,000 ",,"250,000 ",,"244,000 ",,"177,000 ",,"282,000 ",,,,,,,,,,,,,,,
,,Q2,,"221,000 ",,"243,000 ",,"240,000 ",,"179,000 ",,"274,000 ",,,,,,,,,,,,,,,
,,Q3,,"231,000 ",,"256,000 ",,"254,000 ",,"186,000 ",,"289,000 ",,,,,,,,,,,,,,,
,,Q4,,"234,000 ",,"242,000 ",,"242,000 ",,"177,000 ",,"276,000 ",,,,,,,,,,,,,,,
,2012,Q1,,"227,000 ",,"240,000 ",,"239,000 ",,"179,000 ",,"276,000 ",,,,,,,,,,,,,,,
,,Q2,,"231,000 ",,"245,000 ",,"244,000 ",,"180,000 ",,"277,000 ",,,,,,,,,,,,,,,
,,Q3,,"232,000 ",,"255,000 ",,"254,000 ",,"186,000 ",,"293,000 ",,,,,,,,,,,,,,,
,,Q4,,"232,000 ",,"248,000 ",,"247,000 ",,"182,000 ",,"286,000 ",,,,,,,,,,,,,,,
