"Table 11 Housing market: simple average house prices, by new/other dwellings, type of buyer and  region, United Kingdom, from 1992 (quarterly) 1, 2, 3 (previously DCLG table 504)",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,New dwellings,,Other dwellings4,,All dwellings,,First time buyers,,Former owner occupiers,,,,,,,,,,,,,,,
,,,,Price,,Price,,Price,,Price,,Price,,,,,,,,,,,,,,,
,,,,£,,£,,£,,£,,£,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,
K02000001,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,Q1,,"209,000 ",,"257,000 ",,"254,000 ",,"186,000 ",,"287,000 ",,,,,,,,,,,,,,,
,,Q2,,"214,000 ",,"253,000 ",,"250,000 ",,"187,000 ",,"281,000 ",,,,,,,,,,,,,,,
,,Q3,,"214,000 ",,"262,000 ",,"259,000 ",,"188,000 ",,"294,000 ",,,,,,,,,,,,,,,
,,Q4,,"219,000 ",,"249,000 ",,"245,000 ",,"177,000 ",,"279,000 ",,,,,,,,,,,,,,,
,2011,Q1,,"209,000 ",,"251,000 ",,"245,000 ",,"178,000 ",,"283,000 ",,,,,,,,,,,,,,,
,,Q2,,"222,000 ",,"244,000 ",,"242,000 ",,"180,000 ",,"275,000 ",,,,,,,,,,,,,,,
,,Q3,,"232,000 ",,"257,000 ",,"256,000 ",,"187,000 ",,"290,000 ",,,,,,,,,,,,,,,
,,Q4,,"236,000 ",,"244,000 ",,"244,000 ",,"178,000 ",,"278,000 ",,,,,,,,,,,,,,,
,2012,Q1,,"229,000 ",,"241,000 ",,"241,000 ",,"180,000 ",,"277,000 ",,,,,,,,,,,,,,,
,,Q2,,"232,000 ",,"246,000 ",,"245,000 ",,"181,000 ",,"278,000 ",,,,,,,,,,,,,,,
,,Q3,,"233,000 ",,"256,000 ",,"255,000 ",,"187,000 ",,"294,000 ",,,,,,,,,,,,,,,
,,Q4,,"233,000 ",,"250,000 ",,"248,000 ",,"183,000 ",,"287,000 ",,,,,,,,,,,,,,,
,2013,Q1,,"230,000 ",,"245,000 ",,"245,000 ",,"181,000 ",,"287,000 ",,,,,,,,,,,,,,,
,,Q2,,"243,000 ",,"246,000 ",,"246,000 ",,"190,000 ",,"286,000 ",,,,,,,,,,,,,,,
,,Q3,,"245,000 ",,"262,000 ",,"262,000 ",,"197,000 ",,"303,000 ",,,,,,,,,,,,,,,
,,Q4,,"246,000 ",,"257,000 ",,"256,000 ",,"194,000 ",,"297,000 ",,,,,,,,,,,,,,,
,2014,Q1,,"266,000 ",,"262,000 ",,"262,000 ",,"197,000 ",,"306,000 ",,,,,,,,,,,,,,,
,,Q2,,"282,000 ",,"265,000 ",,"266,000 ",,"202,000 ",,"309,000 ",,,,,,,,,,,,,,,
,,Q3,,"285,000 ",,"280,000 ",,"279,000 ",,"210,000 ",,"326,000 ",,,,,,,,,,,,,,,
,,Q4,,"272,000 ",,"269,000 ",,"268,000 ",,"203,000 ",,"314,000 ",,,,,,,,,,,,,,,
,2015,Q1,,"269,000 ",,"272,000 ",,"272,000 ",,"204,000 ",,"323,000 ",,,,,,,,,,,,,,,
,,Q2,,"280,000 ",,"267,000 ",,"269,000 ",,"203,000 ",,"321,000 ",,,,,,,,,,,,,,,
,,Q3,,"286,000 ",,"291,000 ",,"291,000 ",,"210,000 ",,"348,000 ",,,,,,,,,,,,,,,
,,Q4,,"282,000 ",,"286,000 ",,"284,000 ",,"207,000 ",,"341,000 ",,,,,,,,,,,,,,,
,2016,Q1,,"293,000 ",,"296,000 ",,"296,000 ",,"213,000 ",,"357,000 ",,,,,,,,,,,,,,,
,,Q2,,"285,000 ",,"268,000 ",,"271,000 ",,"209,000 ",,"332,000 ",,,,,,,,,,,,,,,
,,Q3,,"290,000 ",,"288,000 ",,"288,000 ",,"216,000 ",,"353,000 ",,,,,,,,,,,,,,,
,,Q4,,"305,000 ",,"283,000 ",,"285,000 ",,"215,000 ",,"348,000 ",,,,,,,,,,,,,,,
,2017,Q1,,"296,000 ",,"275,000 ",,"278,000 ",,"210,000 ",,"342,000 ",,,,,,,,,,,,,,,
,,Q2,,"309,000 ",,"277,000 ",,"282,000 ",,"215,000 ",,"345,000 ",,,,,,,,,,,,,,,
,,Q3,,"309,000 ",,"289,000 ",,"291,000 ",,"217,000 ",,"357,000 ",,,,,,,,,,,,,,,
,,Q4,,"311,000 ",,"276,000 ",,"282,000 ",,"214,000 ",,"344,000 ",,,,,,,,,,,,,,,
,2018,Q1,,"309,000 ",,"281,000 ",,"284,000 ",,"216,000 ",,"352,000 ",,,,,,,,,,,,,,,
,,Q2,,"313,000 ",,"276,000 ",,"282,000 ",,"220,000 ",,"345,000 ",,,,,,,,,,,,,,,
,,Q3,,"314,000 ",,"289,000 ",,"293,000 ",,"223,000 ",,"358,000 ",,,,,,,,,,,,,,,
,,Q4,,"306,000 ",,"279,000 ",,"284,000 ",,"220,000 ",,"346,000 ",,,,,,,,,,,,,,,
,2019,Q1,,"306,000 ",,"274,000 ",,"279,000 ",,"217,000 ",,"343,000 ",,,,,,,,,,,,,,,
,,Q2,,"307,000 ",,"273,000 ",,"279,000 ",,"218,000 ",,"342,000 ",,,,,,,,,,,,,,,
,,Q3,,"313,000 ",,"288,000 ",,"292,000 ",,"222,000 ",,"360,000 ",,,,,,,,,,,,,,,
,,Q4,,"312,000 ",,"288,000 ",,"292,000 ",,"223,000 ",,"357,000 ",,,,,,,,,,,,,,,
,2020,Q1,,"316,000 ",,"290,000 ",,"294,000 ",,"226,000 ",,"361,000 ",,,,,,,,,,,,,,,
,,Q2,,"312,000 ",,"279,000 ",,"283,000 ",,"221,000 ",,"352,000 ",,,,,,,,,,,,,,,
,,Q3,,"324,000 ",,"318,000 ",,"319,000 ",,"243,000 ",,"391,000 ",,,,,,,,,,,,,,,
,,Q4,,"329,000 ",,"330,000 ",,"329,000 ",,"248,000 ",,"397,000 ",,,,,,,,,,,,,,,
,2021,Q1,,"339,000 ",,"351,000 ",,"349,000 ",,"260,000 ",,"412,000 ",,,,,,,,,,,,,,,
,,Q2,,"332,000 ",,"349,000 ",,"346,000 ",,"259,000 ",,"419,000 ",,,,,,,,,,,,,,,
,,Q3,,"302,000 ",,"298,000 ",,"299,000 ",,"226,000 ",,"372,000 ",,,,,,,,,,,,,,,
,,Q4,,"315,000 ",,"315,000 ",,"315,000 ",,"236,000 ",,"409,000 ",,,,,,,,,,,,,,,
,2022,Q1,,"334,000 ",,"334,000 ",,"334,000 ",,"250,000 ",,"424,000 ",,,,,,,,,,,,,,,
,,Q2,,"335,000 ",,"341,000 ",,"339,000 ",,"259,000 ",,"428,000 ",,,,,,,,,,,,,,,
,,Q3,,"341,000 ",,"360,000 ",,"357,000 ",,"269,000 ",,"450,000 ",,,,,,,,,,,,,,,
,,Q4,,"336,000 ",,"348,000 ",,"346,000 ",,"266,000 ",,"435,000 ",,,,,,,,,,,,,,,
,2023,Q1,,"334,000 ",,"330,000 ",,"331,000 ",,"256,000 ",,"416,000 ",,,,,,,,,,,,,,,
,,Q2,,"331,000 ",,"330,000 ",,"330,000 ",,"255,000 ",,"413,000 ",,,,,,,,,,,,,,,
,,Q3,,"325,000 ",,"348,000 ",,"345,000 ",,"262,000 ",,"434,000 ",,,,,,,,,,,,,,,
,,Q4,,"320,000 ",,"330,000 ",,"329,000 ",,"253,000 ",,"414,000 ",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
England and Wales,,,,,,,,,,,,,,,,,,,,,,,,,,,
K04000001,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1992,Q1,,,,,,,,,,,,,,,,,,,,,,,,,
,,Q2,,"79,000 ",,"62,000 ",,"64,000 ",,"49,000 ",,"79,000 ",,,,,,,,,,,,,,,
,,Q3,,"71,000 ",,"64,000 ",,"65,000 ",,"50,000 ",,"82,000 ",,,,,,,,,,,,,,,
,,Q4,,"70,000 ",,"59,000 ",,"61,000 ",,"47,000 ",,"78,000 ",,,,,,,,,,,,,,,
,1993,Q1,,"75,000 ",,"61,000 ",,"62,000 ",,"48,000 ",,"80,000 ",,,,,,,,,,,,,,,
,,Q2,,"73,000 ",,"62,000 ",,"63,000 ",,"50,000 ",,"80,000 ",,,,,,,,,,,,,,,
,,Q3,,"74,000 ",,"64,000 ",,"65,000 ",,"49,000 ",,"83,000 ",,,,,,,,,,,,,,,
,,Q4,,"75,000 ",,"62,000 ",,"64,000 ",,"49,000 ",,"81,000 ",,,,,,,,,,,,,,,
,1994,Q1,,"75,000 ",,"63,000 ",,"64,000 ",,"48,000 ",,"84,000 ",,,,,,,,,,,,,,,
,,Q2,,"76,000 ",,"65,000 ",,"67,000 ",,"50,000 ",,"86,000 ",,,,,,,,,,,,,,,
,,Q3,,"75,000 ",,"66,000 ",,"68,000 ",,"50,000 ",,"89,000 ",,,,,,,,,,,,,,,
,,Q4,,"79,000 ",,"65,000 ",,"68,000 ",,"51,000 ",,"87,000 ",,,,,,,,,,,,,,,
,1995,Q1,,"77,000 ",,"62,000 ",,"64,000 ",,"49,000 ",,"85,000 ",,,,,,,,,,,,,,,
,,Q2,,"79,000 ",,"64,000 ",,"67,000 ",,"48,000 ",,"89,000 ",,,,,,,,,,,,,,,
,,Q3,,"82,000 ",,"67,000 ",,"70,000 ",,"47,000 ",,"92,000 ",,,,,,,,,,,,,,,
,,Q4,,"84,000 ",,"65,000 ",,"68,000 ",,"48,000 ",,"89,000 ",,,,,,,,,,,,,,,
,1996,Q1,,"83,000 ",,"65,000 ",,"68,000 ",,"47,000 ",,"90,000 ",,,,,,,,,,,,,,,
,,Q2,,"86,000 ",,"68,000 ",,"70,000 ",,"50,000 ",,"89,000 ",,,,,,,,,,,,,,,
,,Q3,,"88,000 ",,"73,000 ",,"75,000 ",,"51,000 ",,"95,000 ",,,,,,,,,,,,,,,
,,Q4,,"93,000 ",,"69,000 ",,"71,000 ",,"50,000 ",,"92,000 ",,,,,,,,,,,,,,,
,1997,Q1,,"99,000 ",,"72,000 ",,"74,000 ",,"50,000 ",,"95,000 ",,,,,,,,,,,,,,,
,,Q2,,"96,000 ",,"75,000 ",,"78,000 ",,"52,000 ",,"98,000 ",,,,,,,,,,,,,,,
,,Q3,,"96,000 ",,"78,000 ",,"80,000 ",,"56,000 ",,"100,000 ",,,,,,,,,,,,,,,
,,Q4,,"95,000 ",,"76,000 ",,"78,000 ",,"57,000 ",,"97,000 ",,,,,,,,,,,,,,,
,1998,Q1,,"97,000 ",,"77,000 ",,"80,000 ",,"56,000 ",,"101,000 ",,,,,,,,,,,,,,,
,,Q2,,"101,000 ",,"80,000 ",,"83,000 ",,"62,000 ",,"103,000 ",,,,,,,,,,,,,,,
,,Q3,,"97,000 ",,"85,000 ",,"87,000 ",,"67,000 ",,"105,000 ",,,,,,,,,,,,,,,
,,Q4,,"104,000 ",,"82,000 ",,"85,000 ",,"65,000 ",,"103,000 ",,,,,,,,,,,,,,,
,1999,Q1,,"112,000 ",,"83,000 ",,"86,000 ",,"67,000 ",,"105,000 ",,,,,,,,,,,,,,,
,,Q2,,"116,000 ",,"89,000 ",,"92,000 ",,"73,000 ",,"109,000 ",,,,,,,,,,,,,,,
,,Q3,,"118,000 ",,"97,000 ",,"99,000 ",,"76,000 ",,"119,000 ",,,,,,,,,,,,,,,
,,Q4,,"122,000 ",,"96,000 ",,"99,000 ",,"76,000 ",,"118,000 ",,,,,,,,,,,,,,,
,2000,Q1,,"127,000 ",,"97,000 ",,"100,000 ",,"77,000 ",,"120,000 ",,,,,,,,,,,,,,,
,,Q2,,"127,000 ",,"103,000 ",,"105,000 ",,"80,000 ",,"125,000 ",,,,,,,,,,,,,,,
,,Q3,,"130,000 ",,"104,000 ",,"106,000 ",,"78,000 ",,"127,000 ",,,,,,,,,,,,,,,
,,Q4,,"133,000 ",,"105,000 ",,"108,000 ",,"79,000 ",,"129,000 ",,,,,,,,,,,,,,,
,2001,Q1,,"137,000 ",,"108,000 ",,"111,000 ",,"83,000 ",,"131,000 ",,,,,,,,,,,,,,,
,,Q2,,"136,000 ",,"115,000 ",,"117,000 ",,"86,000 ",,"138,000 ",,,,,,,,,,,,,,,
,,Q3,,"144,000 ",,"119,000 ",,"122,000 ",,"91,000 ",,"143,000 ",,,,,,,,,,,,,,,
,,Q4,,"145,000 ",,"114,000 ",,"117,000 ",,"91,000 ",,"134,000 ",,,,,,,,,,,,,,,
,2002,Q1,,"153,000 ",,"115,000 ",,"119,000 ",,"95,000 ",,"130,000 ",,,,,,,,,,,,,,,
,,Q2,,"162,000 ",,"128,000 ",,"131,000 ",,"104,000 ",,"142,000 ",,,,,,,,,,,,,,,
,,Q3,,"175,000 ",,"139,000 ",,"143,000 ",,"117,000 ",,"155,000 ",,,,,,,,,,,,,,,
,,Q4,,"176,000 ",,"138,000 ",,"141,000 ",,"116,000 ",,"152,000 ",,,,,,,,,,,,,,,
,2003,Q1,,"175,000 ",,"140,000 ",,"142,000 ",,"111,000 ",,"150,000 ",,,,,,,,,,,,,,,
,,Q2,,"190,000 ",,"147,000 ",,"151,000 ",,"116,000 ",,"161,000 ",,,,,,,,,,,,,,,
,,Q3,,"211,000 ",,"169,000 ",,"171,000 ",,"120,000 ",,"181,000 ",,,,,,,,,,,,,,,
,,Q4,,"211,000 ",,"172,000 ",,"173,000 ",,"124,000 ",,"184,000 ",,,,,,,,,,,,,,,
,2004,Q1,,"215,000 ",,"174,000 ",,"176,000 ",,"127,000 ",,"188,000 ",,,,,,,,,,,,,,,
,,Q2,,"219,000 ",,"183,000 ",,"186,000 ",,"135,000 ",,"195,000 ",,,,,,,,,,,,,,,
,,Q3,,"227,000 ",,"195,000 ",,"198,000 ",,"143,000 ",,"209,000 ",,,,,,,,,,,,,,,
,,Q4,,"217,000 ",,"192,000 ",,"196,000 ",,"144,000 ",,"207,000 ",,,,,,,,,,,,,,,
,2005,Q1,,"223,000 ",,"193,000 ",,"196,000 ",,"145,000 ",,"208,000 ",,,,,,,,,,,,,,,
,,Q2,,"224,000 ",,"197,000 ",,"200,000 ",,"151,000 ",,"210,000 ",,,,,,,,,,,,,,,
,,Q3,,"225,000 ",,"206,000 ",,"208,000 ",,"153,000 ",,"225,000 ",,,,,,,,,,,,,,,
,,Q4,,"222,000 ",,"194,000 ",,"195,000 ",,"141,000 ",,"230,000 ",,,,,,,,,,,,,,,
,2006,Q1,,"230,000 ",,"199,000 ",,"200,000 ",,"144,000 ",,"235,000 ",,,,,,,,,,,,,,,
,,Q2,,"228,000 ",,"205,000 ",,"206,000 ",,"150,000 ",,"239,000 ",,,,,,,,,,,,,,,
,,Q3,,"225,000 ",,"220,000 ",,"221,000 ",,"157,000 ",,"256,000 ",,,,,,,,,,,,,,,
,,Q4,,"225,000 ",,"218,000 ",,"218,000 ",,"156,000 ",,"252,000 ",,,,,,,,,,,,,,,
,2007,Q1,,"222,000 ",,"223,000 ",,"223,000 ",,"159,000 ",,"259,000 ",,,,,,,,,,,,,,,
,,Q2,,"226,000 ",,"224,000 ",,"224,000 ",,"164,000 ",,"258,000 ",,,,,,,,,,,,,,,
,,Q3,,"224,000 ",,"239,000 ",,"238,000 ",,"169,000 ",,"274,000 ",,,,,,,,,,,,,,,
,,Q4,,"226,000 ",,"232,000 ",,"231,000 ",,"165,000 ",,"267,000 ",,,,,,,,,,,,,,,
,2008,Q1,,"225,000 ",,"234,000 ",,"233,000 ",,"166,000 ",,"271,000 ",,,,,,,,,,,,,,,
,,Q2,,"231,000 ",,"235,000 ",,"234,000 ",,"171,000 ",,"269,000 ",,,,,,,,,,,,,,,
,,Q3,,"221,000 ",,"241,000 ",,"240,000 ",,"173,000 ",,"275,000 ",,,,,,,,,,,,,,,
,,Q4,,"200,000 ",,"230,000 ",,"227,000 ",,"162,000 ",,"263,000 ",,,,,,,,,,,,,,,
,2009,Q1,,"190,000 ",,"224,000 ",,"222,000 ",,"159,000 ",,"261,000 ",,,,,,,,,,,,,,,
,,Q2,,"192,000 ",,"222,000 ",,"220,000 ",,"161,000 ",,"254,000 ",,,,,,,,,,,,,,,
,,Q3,,"203,000 ",,"243,000 ",,"240,000 ",,"175,000 ",,"275,000 ",,,,,,,,,,,,,,,
,,Q4,,"207,000 ",,"241,000 ",,"239,000 ",,"180,000 ",,"269,000 ",,,,,,,,,,,,,,,
,2010,Q1,,"209,000 ",,"261,000 ",,"259,000 ",,"190,000 ",,"292,000 ",,,,,,,,,,,,,,,
,,Q2,,"216,000 ",,"258,000 ",,"255,000 ",,"191,000 ",,"286,000 ",,,,,,,,,,,,,,,
,,Q3,,"216,000 ",,"267,000 ",,"264,000 ",,"193,000 ",,"300,000 ",,,,,,,,,,,,,,,
,,Q4,,"219,000 ",,"254,000 ",,"249,000 ",,"181,000 ",,"284,000 ",,,,,,,,,,,,,,,
,2011,Q1,,"211,000 ",,"256,000 ",,"250,000 ",,"182,000 ",,"289,000 ",,,,,,,,,,,,,,,
,,Q2,,"223,000 ",,"249,000 ",,"246,000 ",,"184,000 ",,"280,000 ",,,,,,,,,,,,,,,
,,Q3,,"233,000 ",,"262,000 ",,"260,000 ",,"191,000 ",,"295,000 ",,,,,,,,,,,,,,,
,,Q4,,"238,000 ",,"248,000 ",,"248,000 ",,"182,000 ",,"282,000 ",,,,,,,,,,,,,,,
,2012,Q1,,"230,000 ",,"245,000 ",,"245,000 ",,"184,000 ",,"282,000 ",,,,,,,,,,,,,,,
,,Q2,,"233,000 ",,"251,000 ",,"251,000 ",,"186,000 ",,"284,000 ",,,,,,,,,,,,,,,
,,Q3,,"235,000 ",,"261,000 ",,"260,000 ",,"191,000 ",,"299,000 ",,,,,,,,,,,,,,,
,,Q4,,"234,000 ",,"254,000 ",,"252,000 ",,"186,000 ",,"292,000 ",,,,,,,,,,,,,,,
,2013,Q1,,"231,000 ",,"250,000 ",,"249,000 ",,"185,000 ",,"292,000 ",,,,,,,,,,,,,,,
,,Q2,,"246,000 ",,"251,000 ",,"251,000 ",,"194,000 ",,"292,000 ",,,,,,,,,,,,,,,
,,Q3,,"248,000 ",,"268,000 ",,"267,000 ",,"202,000 ",,"309,000 ",,,,,,,,,,,,,,,
,,Q4,,"248,000 ",,"262,000 ",,"261,000 ",,"198,000 ",,"303,000 ",,,,,,,,,,,,,,,
,2014,Q1,,"272,000 ",,"267,000 ",,"267,000 ",,"202,000 ",,"312,000 ",,,,,,,,,,,,,,,
,,Q2,,"290,000 ",,"270,000 ",,"271,000 ",,"207,000 ",,"315,000 ",,,,,,,,,,,,,,,
,,Q3,,"291,000 ",,"285,000 ",,"285,000 ",,"215,000 ",,"332,000 ",,,,,,,,,,,,,,,
,,Q4,,"276,000 ",,"274,000 ",,"273,000 ",,"206,000 ",,"320,000 ",,,,,,,,,,,,,,,
,2015,Q1,,"270,000 ",,"277,000 ",,"277,000 ",,"209,000 ",,"329,000 ",,,,,,,,,,,,,,,
,,Q2,,"288,000 ",,"275,000 ",,"277,000 ",,"208,000 ",,"330,000 ",,,,,,,,,,,,,,,
,,Q3,,"291,000 ",,"299,000 ",,"298,000 ",,"215,000 ",,"357,000 ",,,,,,,,,,,,,,,
,,Q4,,"287,000 ",,"294,000 ",,"291,000 ",,"212,000 ",,"350,000 ",,,,,,,,,,,,,,,
,2016,Q1,,"297,000 ",,"305,000 ",,"304,000 ",,"219,000 ",,"366,000 ",,,,,,,,,,,,,,,
,,Q2,,"290,000 ",,"276,000 ",,"278,000 ",,"216,000 ",,"341,000 ",,,,,,,,,,,,,,,
,,Q3,,"295,000 ",,"296,000 ",,"296,000 ",,"222,000 ",,"362,000 ",,,,,,,,,,,,,,,
,,Q4,,"310,000 ",,"290,000 ",,"292,000 ",,"220,000 ",,"357,000 ",,,,,,,,,,,,,,,
,2017,Q1,,"300,000 ",,"285,000 ",,"287,000 ",,"217,000 ",,"351,000 ",,,,,,,,,,,,,,,
,,Q2,,"313,000 ",,"288,000 ",,"292,000 ",,"223,000 ",,"356,000 ",,,,,,,,,,,,,,,
,,Q3,,"313,000 ",,"298,000 ",,"300,000 ",,"225,000 ",,"366,000 ",,,,,,,,,,,,,,,
,,Q4,,"315,000 ",,"285,000 ",,"290,000 ",,"220,000 ",,"353,000 ",,,,,,,,,,,,,,,
,2018,Q1,,"313,000 ",,"289,000 ",,"292,000 ",,"222,000 ",,"360,000 ",,,,,,,,,,,,,,,
,,Q2,,"318,000 ",,"286,000 ",,"292,000 ",,"227,000 ",,"356,000 ",,,,,,,,,,,,,,,
,,Q3,,"319,000 ",,"299,000 ",,"302,000 ",,"231,000 ",,"369,000 ",,,,,,,,,,,,,,,
,,Q4,,"311,000 ",,"287,000 ",,"292,000 ",,"226,000 ",,"355,000 ",,,,,,,,,,,,,,,
,2019,Q1,,"310,000 ",,"282,000 ",,"287,000 ",,"223,000 ",,"352,000 ",,,,,,,,,,,,,,,
,,Q2,,"312,000 ",,"283,000 ",,"288,000 ",,"226,000 ",,"353,000 ",,,,,,,,,,,,,,,
,,Q3,,"317,000 ",,"298,000 ",,"301,000 ",,"230,000 ",,"371,000 ",,,,,,,,,,,,,,,
,,Q4,,"316,000 ",,"297,000 ",,"301,000 ",,"230,000 ",,"368,000 ",,,,,,,,,,,,,,,
,2020,Q1,,"321,000 ",,"299,000 ",,"302,000 ",,"233,000 ",,"371,000 ",,,,,,,,,,,,,,,
,,Q2,,"313,000 ",,"286,000 ",,"290,000 ",,"227,000 ",,"360,000 ",,,,,,,,,,,,,,,
,,Q3,,"328,000 ",,"328,000 ",,"328,000 ",,"250,000 ",,"402,000 ",,,,,,,,,,,,,,,
,,Q4,,"333,000 ",,"343,000 ",,"341,000 ",,"257,000 ",,"410,000 ",,,,,,,,,,,,,,,
,2021,Q1,,"343,000 ",,"361,000 ",,"358,000 ",,"268,000 ",,"422,000 ",,,,,,,,,,,,,,,
,,Q2,,"336,000 ",,"359,000 ",,"356,000 ",,"267,000 ",,"428,000 ",,,,,,,,,,,,,,,
,,Q3,,"304,000 ",,"306,000 ",,"306,000 ",,"232,000 ",,"381,000 ",,,,,,,,,,,,,,,
,,Q4,,"318,000 ",,"326,000 ",,"324,000 ",,"242,000 ",,"424,000 ",,,,,,,,,,,,,,,
,2022,Q1,,"337,000 ",,"344,000 ",,"343,000 ",,"257,000 ",,"437,000 ",,,,,,,,,,,,,,,
,,Q2,,"339,000 ",,"354,000 ",,"351,000 ",,"267,000 ",,"444,000 ",,,,,,,,,,,,,,,
,,Q3,,"344,000 ",,"373,000 ",,"369,000 ",,"278,000 ",,"465,000 ",,,,,,,,,,,,,,,
,,Q4,,"338,000 ",,"359,000 ",,"355,000 ",,"272,000 ",,"447,000 ",,,,,,,,,,,,,,,
,2023,Q1,,"335,000 ",,"341,000 ",,"340,000 ",,"262,000 ",,"430,000 ",,,,,,,,,,,,,,,
,,Q2,,"332,000 ",,"344,000 ",,"342,000 ",,"264,000 ",,"429,000 ",,,,,,,,,,,,,,,
,,Q3,,"325,000 ",,"361,000 ",,"357,000 ",,"271,000 ",,"448,000 ",,,,,,,,,,,,,,,
,,Q4,,"319,000 ",,"342,000 ",,"339,000 ",,"260,000 ",,"427,000 ",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,,,,,,,,,,,,,,,,,,,,,,,,,,,
E92000001,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1992,Q1,,,,,,,,,,,,,,,,,,,,,,,,,
,,Q2,,"79,000 ",,"62,000 ",,"64,000 ",,"49,000 ",,"79,000 ",,,,,,,,,,,,,,,
,,Q3,,"72,000 ",,"65,000 ",,"66,000 ",,"51,000 ",,"81,000 ",,,,,,,,,,,,,,,
,,Q4,,"71,000 ",,"59,000 ",,"61,000 ",,"47,000 ",,"79,000 ",,,,,,,,,,,,,,,
,1993,Q1,,"75,000 ",,"61,000 ",,"63,000 ",,"49,000 ",,"80,000 ",,,,,,,,,,,,,,,
,,Q2,,"74,000 ",,"62,000 ",,"64,000 ",,"50,000 ",,"80,000 ",,,,,,,,,,,,,,,
,,Q3,,"74,000 ",,"64,000 ",,"66,000 ",,"50,000 ",,"84,000 ",,,,,,,,,,,,,,,
,,Q4,,"76,000 ",,"63,000 ",,"65,000 ",,"50,000 ",,"82,000 ",,,,,,,,,,,,,,,
,1994,Q1,,"76,000 ",,"63,000 ",,"65,000 ",,"49,000 ",,"85,000 ",,,,,,,,,,,,,,,
,,Q2,,"76,000 ",,"65,000 ",,"67,000 ",,"51,000 ",,"87,000 ",,,,,,,,,,,,,,,
,,Q3,,"76,000 ",,"67,000 ",,"69,000 ",,"51,000 ",,"89,000 ",,,,,,,,,,,,,,,
,,Q4,,"81,000 ",,"66,000 ",,"69,000 ",,"52,000 ",,"89,000 ",,,,,,,,,,,,,,,
,1995,Q1,,"77,000 ",,"62,000 ",,"65,000 ",,"49,000 ",,"85,000 ",,,,,,,,,,,,,,,
,,Q2,,"80,000 ",,"65,000 ",,"68,000 ",,"49,000 ",,"90,000 ",,,,,,,,,,,,,,,
,,Q3,,"83,000 ",,"68,000 ",,"71,000 ",,"48,000 ",,"93,000 ",,,,,,,,,,,,,,,
,,Q4,,"85,000 ",,"70,000 ",,"69,000 ",,"48,000 ",,"90,000 ",,,,,,,,,,,,,,,
,1996,Q1,,"84,000 ",,"66,000 ",,"68,000 ",,"48,000 ",,"91,000 ",,,,,,,,,,,,,,,
,,Q2,,"87,000 ",,"69,000 ",,"71,000 ",,"50,000 ",,"90,000 ",,,,,,,,,,,,,,,
,,Q3,,"90,000 ",,"74,000 ",,"76,000 ",,"52,000 ",,"96,000 ",,,,,,,,,,,,,,,
,,Q4,,"94,000 ",,"70,000 ",,"72,000 ",,"50,000 ",,"93,000 ",,,,,,,,,,,,,,,
,1997,Q1,,"100,000 ",,"73,000 ",,"75,000 ",,"50,000 ",,"96,000 ",,,,,,,,,,,,,,,
,,Q2,,"96,000 ",,"76,000 ",,"78,000 ",,"52,000 ",,"99,000 ",,,,,,,,,,,,,,,
,,Q3,,"97,000 ",,"79,000 ",,"81,000 ",,"57,000 ",,"101,000 ",,,,,,,,,,,,,,,
,,Q4,,"96,000 ",,"77,000 ",,"79,000 ",,"57,000 ",,"98,000 ",,,,,,,,,,,,,,,
,1998,Q1,,"98,000 ",,"78,000 ",,"81,000 ",,"57,000 ",,"102,000 ",,,,,,,,,,,,,,,
,,Q2,,"102,000 ",,"81,000 ",,"84,000 ",,"63,000 ",,"105,000 ",,,,,,,,,,,,,,,
,,Q3,,"98,000 ",,"86,000 ",,"88,000 ",,"68,000 ",,"106,000 ",,,,,,,,,,,,,,,
,,Q4,,"105,000 ",,"83,000 ",,"86,000 ",,"65,000 ",,"104,000 ",,,,,,,,,,,,,,,
,1999,Q1,,"113,000 ",,"84,000 ",,"87,000 ",,"68,000 ",,"106,000 ",,,,,,,,,,,,,,,
,,Q2,,"118,000 ",,"90,000 ",,"93,000 ",,"74,000 ",,"110,000 ",,,,,,,,,,,,,,,
,,Q3,,"120,000 ",,"99,000 ",,"101,000 ",,"77,000 ",,"121,000 ",,,,,,,,,,,,,,,
,,Q4,,"124,000 ",,"98,000 ",,"100,000 ",,"77,000 ",,"120,000 ",,,,,,,,,,,,,,,
,2000,Q1,,"128,000 ",,"99,000 ",,"102,000 ",,"78,000 ",,"122,000 ",,,,,,,,,,,,,,,
,,Q2,,"129,000 ",,"105,000 ",,"107,000 ",,"81,000 ",,"126,000 ",,,,,,,,,,,,,,,
,,Q3,,"132,000 ",,"106,000 ",,"108,000 ",,"80,000 ",,"129,000 ",,,,,,,,,,,,,,,
,,Q4,,"135,000 ",,"107,000 ",,"110,000 ",,"81,000 ",,"132,000 ",,,,,,,,,,,,,,,
